1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,2
36,0
37,1
38,3
39,2
40,5
41,0
42,6
43,6
44,8
45,4
46,9
47,5
48,16
49,18
50,22
51,21
52,38
53,48
54,51
55,49
56,52
57,73
58,75
59,88
60,98
61,117
62,146
63,167
64,178
65,197
66,214
67,244
68,252
69,285
70,356
71,391
72,425
73,477
74,553
75,579
76,716
77,734
78,832
79,855
80,989
81,1020
82,1283
83,1406
84,1629
85,1837
86,1913
87,2147
88,2463
89,2877
90,3052
91,3824
92,4362
93,5305
94,6347
95,7943
96,10273
97,15485
98,24311
99,235712
