1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,2
36,0
37,1
38,3
39,2
40,5
41,1
42,5
43,6
44,8
45,4
46,9
47,5
48,16
49,18
50,21
51,21
52,42
53,45
54,50
55,51
56,53
57,73
58,75
59,83
60,101
61,128
62,133
63,156
64,197
65,192
66,228
67,227
68,267
69,303
70,354
71,386
72,416
73,511
74,545
75,652
76,695
77,777
78,852
79,827
80,1059
81,1234
82,1367
83,1561
84,1634
85,1829
86,2254
87,2391
88,2704
89,3422
90,3888
91,4865
92,5531
93,7559
94,9407
95,13009
96,20078
97,34047
98,84201
