1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,2
37,2
38,2
39,7
40,3
41,5
42,13
43,19
44,12
45,21
46,41
47,37
48,41
49,50
50,50
51,56
52,64
53,70
54,83
55,124
56,140
57,157
58,161
59,180
60,200
61,238
62,269
63,311
64,353
65,389
66,429
67,489
68,518
69,603
70,684
71,797
72,871
73,968
74,1113
75,1217
76,1384
77,1605
78,1660
79,1968
80,2159
81,2337
82,2635
83,2891
84,3516
85,3740
86,4422
87,4800
88,5602
89,6512
90,7972
91,9527
92,11531
93,14949
94,19525
95,25237
96,38276
97,68522
98,164556
