1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,2
37,4
38,1
39,6
40,4
41,7
42,15
43,14
44,12
45,26
46,38
47,38
48,35
49,54
50,41
51,63
52,65
53,69
54,95
55,126
56,140
57,171
58,149
59,173
60,207
61,241
62,263
63,324
64,346
65,400
66,428
67,496
68,522
69,617
70,712
71,792
72,907
73,986
74,1109
75,1294
76,1449
77,1577
78,1830
79,1938
80,2282
81,2556
82,2875
83,3250
84,3869
85,4355
86,4912
87,5617
88,6963
89,8299
90,10616
91,13891
92,17187
93,24396
94,33792
95,51862
96,93300
97,207262
98,857377
